unique_id,ds,y
EMBASSY PARK_11KV LUMAX,2026-05-11 16:18:00,1.99
EMBASSY PARK_11KV LUMAX,2026-05-11 16:21:00,1.81
EMBASSY PARK_11KV LUMAX,2026-05-11 16:24:00,1.91
EMBASSY PARK_11KV LUMAX,2026-05-11 16:27:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 16:30:00,1.82
EMBASSY PARK_11KV LUMAX,2026-05-11 16:33:00,1.82
EMBASSY PARK_11KV LUMAX,2026-05-11 16:36:00,1.94
EMBASSY PARK_11KV LUMAX,2026-05-11 16:39:00,1.9
EMBASSY PARK_11KV LUMAX,2026-05-11 16:42:00,1.88
EMBASSY PARK_11KV LUMAX,2026-05-11 16:45:00,1.79
EMBASSY PARK_11KV LUMAX,2026-05-11 16:48:00,1.96
EMBASSY PARK_11KV LUMAX,2026-05-11 16:51:00,1.8
EMBASSY PARK_11KV LUMAX,2026-05-11 16:54:00,1.94
EMBASSY PARK_11KV LUMAX,2026-05-11 16:57:00,1.89
EMBASSY PARK_11KV LUMAX,2026-05-11 17:00:00,1.92
EMBASSY PARK_11KV LUMAX,2026-05-11 17:03:00,2.02
EMBASSY PARK_11KV LUMAX,2026-05-11 17:06:00,1.97
EMBASSY PARK_11KV LUMAX,2026-05-11 17:09:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 17:12:00,1.89
EMBASSY PARK_11KV LUMAX,2026-05-11 17:15:00,1.98
EMBASSY PARK_11KV LUMAX,2026-05-11 17:30:00,1.02
EMBASSY PARK_11KV LUMAX,2026-05-11 17:33:00,1.02
EMBASSY PARK_11KV LUMAX,2026-05-11 17:36:00,1.02
EMBASSY PARK_11KV LUMAX,2026-05-11 17:42:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 17:45:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 17:48:00,1.89
EMBASSY PARK_11KV LUMAX,2026-05-11 17:51:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 17:54:00,1.94
EMBASSY PARK_11KV LUMAX,2026-05-11 17:57:00,2.06
EMBASSY PARK_11KV LUMAX,2026-05-11 18:00:00,1.88
EMBASSY PARK_11KV LUMAX,2026-05-11 18:03:00,1.95
EMBASSY PARK_11KV LUMAX,2026-05-11 18:06:00,1.94
EMBASSY PARK_11KV LUMAX,2026-05-11 18:09:00,2.04
EMBASSY PARK_11KV LUMAX,2026-05-11 18:12:00,1.99
EMBASSY PARK_11KV LUMAX,2026-05-11 18:15:00,1.98
EMBASSY PARK_11KV LUMAX,2026-05-11 18:18:00,2.13
EMBASSY PARK_11KV LUMAX,2026-05-11 18:21:00,1.96
EMBASSY PARK_11KV LUMAX,2026-05-11 18:24:00,2.07
EMBASSY PARK_11KV LUMAX,2026-05-11 18:27:00,1.99
EMBASSY PARK_11KV LUMAX,2026-05-11 18:30:00,2.14
EMBASSY PARK_11KV LUMAX,2026-05-11 18:33:00,2.0
EMBASSY PARK_11KV LUMAX,2026-05-11 18:36:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 18:39:00,2.04
EMBASSY PARK_11KV LUMAX,2026-05-11 18:42:00,2.08
EMBASSY PARK_11KV LUMAX,2026-05-11 18:45:00,2.15
EMBASSY PARK_11KV LUMAX,2026-05-11 18:48:00,2.05
EMBASSY PARK_11KV LUMAX,2026-05-11 18:51:00,2.11
EMBASSY PARK_11KV LUMAX,2026-05-11 18:54:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 18:57:00,2.14
EMBASSY PARK_11KV LUMAX,2026-05-11 19:00:00,2.02
EMBASSY PARK_11KV LUMAX,2026-05-11 19:03:00,2.16
EMBASSY PARK_11KV LUMAX,2026-05-11 19:06:00,2.02
EMBASSY PARK_11KV LUMAX,2026-05-11 19:09:00,2.13
EMBASSY PARK_11KV LUMAX,2026-05-11 19:12:00,2.24
EMBASSY PARK_11KV LUMAX,2026-05-11 19:15:00,2.07
EMBASSY PARK_11KV LUMAX,2026-05-11 19:18:00,2.04
EMBASSY PARK_11KV LUMAX,2026-05-11 19:21:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 19:24:00,2.06
EMBASSY PARK_11KV LUMAX,2026-05-11 19:27:00,2.0
EMBASSY PARK_11KV LUMAX,2026-05-11 19:30:00,2.08
EMBASSY PARK_11KV LUMAX,2026-05-11 19:33:00,2.13
EMBASSY PARK_11KV LUMAX,2026-05-11 19:36:00,2.02
EMBASSY PARK_11KV LUMAX,2026-05-11 19:39:00,1.93
EMBASSY PARK_11KV LUMAX,2026-05-11 19:42:00,1.92
EMBASSY PARK_11KV LUMAX,2026-05-11 19:45:00,1.97
EMBASSY PARK_11KV LUMAX,2026-05-11 19:48:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 19:51:00,1.9
