unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,hour,day
,2026-11-05 02:30:00,2.04,117.0,109.0,116.0,10.9,10.9,10.9,2,3
,2026-11-05 02:30:00,1.5,75.5,82.0,78.7,11.0,11.0,11.0,2,3
,2026-11-05 02:30:00,1.31,70.6,66.2,71.9,11.0,11.0,11.0,2,3
,2026-11-05 02:33:00,1.45,75.5,82.0,78.7,11.0,10.9,11.0,2,3
,2026-11-05 02:33:00,2.06,119.0,109.0,117.0,10.9,10.9,10.9,2,3
,2026-11-05 02:33:00,263.0,14.7,15.6,14.3,11.1,11.1,11.1,2,3
,2026-11-05 02:33:00,1.31,70.0,67.4,72.5,11.0,10.9,11.0,2,3
,2026-11-05 02:33:00,1.37,74.1,74.5,70.7,10.9,10.9,10.9,2,3
,2026-11-05 02:36:00,1.46,77.4,82.9,80.3,10.9,10.9,10.9,2,3
,2026-11-05 02:36:00,2.05,117.0,106.0,114.0,10.9,10.9,10.9,2,3
,2026-11-05 02:36:00,1.31,70.5,66.3,71.9,11.0,10.9,11.0,2,3
,2026-11-05 02:36:00,1.38,74.3,72.9,70.6,10.9,10.8,10.9,2,3
,2026-11-05 02:36:00,283.0,14.9,15.7,14.5,11.1,11.1,11.1,2,3
,2026-11-05 02:39:00,1.3,70.1,66.5,71.5,11.0,11.0,11.0,2,3
,2026-11-05 02:39:00,2.04,118.0,109.0,118.0,10.9,10.9,10.9,2,3
,2026-11-05 02:39:00,1.41,73.5,76.3,74.1,10.9,10.9,10.9,2,3
,2026-11-05 02:39:00,1.52,71.1,76.8,74.5,11.0,11.0,10.9,2,3
,2026-11-05 02:39:00,277.0,15.4,16.4,14.2,11.1,11.1,11.1,2,3
,2026-11-05 02:42:00,288.0,15.4,16.4,14.2,11.1,11.1,11.1,2,3
,2026-11-05 02:42:00,1.38,74.4,74.7,71.5,10.9,10.9,10.9,2,3
,2026-11-05 02:42:00,1.31,71.0,67.1,71.9,11.0,11.0,11.0,2,3
,2026-11-05 02:42:00,1.42,71.1,76.8,74.5,11.0,10.9,10.9,2,3
,2026-11-05 02:42:00,2.04,119.0,108.0,116.0,10.9,10.9,11.0,2,3
,2026-11-05 02:45:00,1.29,69.6,66.4,72.0,11.0,11.0,11.0,2,3
,2026-11-05 02:45:00,1.35,74.7,74.8,69.0,10.9,10.9,10.9,2,3
,2026-11-05 02:45:00,1.4,79.9,81.0,80.1,11.0,11.0,10.9,2,3
,2026-11-05 02:45:00,2.05,118.0,110.0,115.0,10.9,10.9,10.9,2,3
,2026-11-05 02:45:00,259.0,14.8,15.5,14.5,11.1,11.1,11.1,2,3
,2026-11-05 02:48:00,1.29,68.7,66.2,70.2,11.0,11.0,11.0,2,3
,2026-11-05 02:48:00,2.04,117.0,109.0,116.0,10.9,10.9,11.0,2,3
,2026-11-05 02:48:00,1.36,72.9,73.7,70.3,10.9,10.9,10.9,2,3
,2026-11-05 02:48:00,286.0,14.8,15.5,14.5,11.1,11.1,11.2,2,3
,2026-11-05 02:48:00,1.54,79.9,81.0,80.1,11.0,11.0,10.9,2,3
,2026-11-05 02:51:00,2.04,119.0,110.0,115.0,10.9,10.9,10.9,2,3
,2026-11-05 02:51:00,280.0,14.9,15.5,14.4,11.1,11.1,11.1,2,3
,2026-11-05 02:51:00,1.3,69.5,65.8,71.2,11.0,11.0,11.0,2,3
,2026-11-05 02:51:00,1.44,85.7,86.5,86.6,11.0,11.0,10.9,2,3
,2026-11-05 02:51:00,1.35,72.5,74.6,69.5,10.9,10.9,10.9,2,3
,2026-11-05 02:54:00,284.0,15.1,15.8,14.6,11.2,11.2,11.2,2,3
,2026-11-05 02:54:00,1.29,67.8,66.2,70.1,11.0,11.0,11.0,2,3
,2026-11-05 02:54:00,1.35,73.2,77.1,69.5,10.9,10.9,10.9,2,3
,2026-11-05 02:54:00,2.05,117.0,109.0,114.0,10.9,10.9,11.0,2,3
,2026-11-05 02:54:00,1.55,78.2,79.8,78.3,11.0,11.0,11.0,2,3
,2026-11-05 02:57:00,280.0,15.1,15.8,14.6,11.1,11.2,11.2,2,3
,2026-11-05 02:57:00,1.39,76.2,76.8,74.1,10.9,10.9,10.9,2,3
,2026-11-05 02:57:00,1.26,67.7,64.4,69.8,11.0,11.0,11.0,2,3
,2026-11-05 02:57:00,2.05,119.0,111.0,116.0,11.0,10.9,10.9,2,3
